Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,1,1,-1,-1,-1,1,1,1,1,1,681,1,1
1,2,2,2,0,0,1,1,2,1,2,1,622,1,1
2,2,1,2,1,1,0,1,2,1,3,0,981,0,1
1,2,1,2,1,1,1,1,1,1,4,0,752,0,1
1,2,2,2,0,0,1,1,2,1,5,1,578,1,1
2,2,2,2,1,0,0,1,2,1,6,0,739,1,1
1,1,2,1,1,0,0,1,2,1,7,1,587,0,1
1,1,2,2,0,0,0,1,2,1,8,1,776,1,1
2,1,1,1,1,0,1,1,1,1,9,1,755,1,1
2,2,1,1,0,1,0,1,1,1,10,1,937,1,1
1,2,1,1,1,0,0,1,1,1,11,0,927,1,1
2,1,1,1,1,1,0,1,1,1,12,1,653,1,1
1,2,2,2,1,0,1,1,2,1,13,0,735,1,1
2,1,2,2,1,0,0,1,2,1,14,1,913,1,1
1,1,1,1,1,1,1,1,1,1,15,1,988,1,1
2,1,1,1,1,1,0,1,1,1,16,1,851,1,1
2,1,2,2,0,0,1,1,2,1,17,0,915,1,1
1,2,2,2,1,1,0,1,2,1,18,1,1005,1,1
2,1,1,2,1,1,0,1,2,1,19,0,636,0,1
1,2,1,1,1,0,1,1,1,1,20,0,1180,1,1
2,2,1,1,1,0,0,1,1,1,21,1,785,1,1
2,2,2,1,0,0,0,1,1,1,22,1,683,0,1
1,2,2,2,1,0,1,1,2,1,23,1,603,1,1
2,2,2,1,1,0,1,1,1,1,24,1,979,0,1
1,1,1,1,1,1,0,1,1,1,25,1,755,1,1
2,1,2,2,1,1,1,1,2,1,26,1,768,1,1
1,1,1,1,1,0,1,1,1,1,27,1,899,1,1
1,1,1,1,0,0,0,1,1,1,28,1,633,1,1
2,2,1,1,1,1,0,1,1,1,29,1,928,1,1
2,2,1,1,0,0,0,1,1,1,30,1,673,1,1
1,1,1,2,1,0,0,1,1,1,31,1,700,0,1
2,2,2,2,1,0,1,1,2,1,32,1,957,1,1
1,1,2,1,1,1,0,1,2,1,33,1,1176,0,1
1,2,2,2,0,1,0,1,2,1,34,1,1134,1,1
2,1,1,1,1,1,1,1,1,1,35,1,919,1,1
1,2,2,1,1,0,1,1,2,1,36,0,1421,0,1
2,2,1,2,1,1,0,1,2,1,37,0,1301,0,1
1,2,1,2,1,0,1,1,1,1,38,1,856,0,1
2,1,1,2,1,0,1,1,2,1,39,0,1268,0,1
1,1,1,1,1,1,1,1,1,1,40,1,924,1,1
1,2,1,1,0,1,0,1,1,1,41,1,1154,1,1
2,1,2,1,1,0,0,1,1,1,42,0,1215,0,1
1,2,1,1,1,1,0,1,1,1,43,1,768,1,1
2,2,1,1,1,1,0,1,1,1,44,1,751,1,1
1,1,1,1,1,1,0,1,1,1,45,1,818,1,1
2,2,2,2,1,1,1,1,2,1,46,0,965,1,1
1,1,1,1,1,1,1,1,1,1,47,1,507,1,1
2,1,2,2,1,1,1,1,2,1,48,0,863,1,1
2,2,2,1,0,1,1,1,1,1,49,1,1322,0,1
2,1,2,2,0,1,1,1,2,1,50,1,1037,1,1
1,1,2,2,1,0,0,1,2,1,51,1,1076,1,1
2,2,1,1,1,0,1,1,1,1,52,1,1455,1,1
1,1,2,2,1,0,1,1,2,1,53,1,735,1,1
2,2,2,1,1,1,1,1,1,1,54,1,1406,0,1
2,1,2,2,0,1,1,1,2,1,55,1,766,1,1
1,2,1,2,1,1,1,1,1,1,56,1,1425,0,1
2,2,2,2,1,1,1,1,2,1,57,1,901,1,1
1,1,1,1,1,0,1,1,1,1,58,1,851,1,1
2,1,2,1,1,0,0,1,1,1,59,0,1002,0,1
1,1,1,2,1,0,0,1,1,1,60,1,1211,0,1
2,2,2,2,1,1,1,1,2,1,61,1,993,1,1
1,2,2,2,1,1,0,1,2,1,62,0,1401,1,1
1,1,1,2,0,1,1,1,1,1,63,1,904,0,1
2,2,1,1,1,1,0,1,1,1,64,1,963,1,1
1,2,2,2,1,1,1,1,2,1,65,0,1120,1,1
2,1,1,1,1,0,1,1,1,1,66,1,1201,1,1
1,1,2,2,1,0,1,1,2,1,67,1,687,1,1
2,2,1,1,1,0,1,1,1,1,68,1,949,1,1
1,1,1,1,1,0,0,1,1,1,69,1,683,1,1
2,2,1,1,1,0,0,1,1,1,70,1,1055,1,1
2,2,1,1,0,0,0,1,1,1,71,1,935,1,1
1,2,1,1,1,1,0,1,1,1,72,1,713,1,1
2,1,2,2,1,0,1,1,2,1,73,1,722,1,1
1,1,2,2,1,0,0,1,2,1,74,0,709,1,1
2,1,2,2,1,0,0,1,2,1,75,1,584,1,1
1,1,1,1,1,1,1,1,1,1,76,1,920,1,1
2,1,2,2,1,0,1,1,2,1,77,1,809,1,1
2,2,1,1,0,1,1,1,1,1,78,1,947,1,1
1,1,1,1,1,1,0,1,1,1,79,1,754,1,1
2,1,2,2,1,0,1,1,2,1,80,1,1213,1,1
1,2,1,1,1,0,1,1,1,1,81,1,967,1,1
2,2,2,1,1,0,0,1,1,1,82,1,1186,0,1
1,1,2,2,1,1,1,1,2,1,83,0,879,1,1
2,2,1,1,1,1,1,1,1,1,84,1,840,1,1
1,2,2,2,1,0,1,1,2,1,85,0,818,1,1
1,2,2,1,0,0,0,1,2,1,86,1,1150,0,1
1,1,2,2,0,1,0,1,2,1,87,1,1075,1,1
2,1,2,2,1,1,0,1,2,1,88,1,886,1,1
1,2,1,2,1,0,1,1,1,1,89,1,758,0,1
2,1,2,2,1,0,1,1,2,1,90,1,591,1,1
2,1,1,1,0,0,1,1,1,1,91,0,863,1,1
1,1,2,1,1,1,1,1,2,1,92,1,1385,0,1
1,1,2,2,0,0,0,1,2,1,93,0,1326,1,1
1,2,1,1,0,1,1,1,1,1,94,1,1348,1,1
2,1,1,2,1,1,1,1,2,1,95,1,752,0,1
1,1,2,2,1,0,0,1,2,1,96,1,1361,1,1
2,2,1,1,1,0,1,1,1,1,97,1,914,1,1
1,2,1,2,1,1,0,1,1,1,98,1,683,0,1
2,1,2,2,1,1,1,1,2,1,99,1,886,1,1
1,2,1,1,1,1,1,1,1,1,100,1,1075,1,1
1,1,2,2,0,1,1,1,2,1,101,1,1239,1,1
2,2,1,1,1,0,1,1,1,1,102,1,855,1,1
1,2,2,2,1,1,1,1,2,1,103,1,1443,1,1
2,1,1,2,1,1,0,1,2,1,104,1,734,0,1
1,2,1,1,1,1,1,1,1,1,105,1,753,1,1
2,2,2,1,1,0,0,1,1,1,106,1,983,0,1
1,2,2,2,1,0,1,1,2,1,107,1,997,1,1
2,1,2,2,1,0,0,1,2,1,108,1,1007,1,1
2,1,2,1,0,0,1,1,1,1,109,0,741,0,1
1,1,1,2,1,1,0,1,1,1,110,1,817,0,1
2,1,2,2,1,1,1,1,2,1,111,0,891,1,1
1,2,2,2,1,0,0,1,2,1,112,0,1103,1,1
1,1,1,1,0,1,1,1,1,1,113,1,854,1,1
1,2,1,2,0,1,0,1,1,1,114,-1,-1,0,1
2,2,1,1,1,1,0,1,1,1,115,1,874,1,1
2,1,2,2,0,1,1,1,2,1,116,1,679,1,1
1,2,2,2,1,1,0,1,2,1,117,0,715,1,1
2,2,2,2,1,1,0,1,2,1,118,0,1144,1,1
1,1,1,1,1,0,1,1,1,1,119,1,1217,1,1
2,1,2,2,1,1,1,1,2,1,120,1,1285,1,1
2,1,1,1,0,0,1,1,1,1,121,1,1086,1,1
2,2,2,2,0,1,1,1,2,1,122,1,1041,1,1
2,1,1,2,0,1,0,1,2,1,123,0,936,0,1
1,1,2,2,1,1,0,1,2,1,124,1,868,1,1
1,1,2,1,0,0,0,1,2,1,125,1,814,0,1
2,2,2,2,1,0,0,1,2,1,126,0,1179,1,1
2,2,2,2,0,0,0,1,2,1,127,0,1008,1,1
1,2,1,1,1,0,1,1,1,1,128,0,1013,1,1
1,2,2,2,0,0,1,1,2,1,129,1,1016,1,1
1,2,1,1,0,0,1,1,1,1,130,1,1014,1,1
1,1,1,2,-1,-1,-1,1,1,1,131,1,929,0,1
1,1,1,2,0,0,0,1,1,1,132,0,671,0,1
1,2,1,1,0,1,0,1,1,1,133,1,748,1,1
2,1,1,1,1,0,0,1,1,1,134,1,881,1,1
1,1,2,1,1,1,1,1,2,1,135,1,720,0,1
2,2,1,1,1,1,1,1,1,1,136,1,696,1,1
2,2,2,2,0,0,1,1,2,1,137,1,806,1,1
1,1,1,1,1,0,1,1,1,1,138,1,1118,1,1
2,2,1,1,1,0,0,1,1,1,139,0,1167,1,1
2,2,1,1,0,0,0,1,1,1,140,1,754,1,1
1,2,1,1,1,0,0,1,1,1,141,1,718,1,1
1,2,2,1,0,0,1,1,2,1,142,1,1037,0,1
2,1,2,2,1,1,0,1,2,1,143,1,660,1,1
1,1,2,2,1,0,0,1,2,1,144,1,742,1,1
2,1,1,2,1,1,0,1,2,1,145,1,1298,0,1
2,2,1,1,0,1,1,1,1,1,146,1,1123,1,1
1,2,2,1,1,0,1,1,2,1,147,1,704,0,1
2,2,2,2,1,1,0,1,2,1,148,1,868,1,1
1,2,1,2,1,1,1,1,1,1,149,1,900,0,1
2,1,2,2,1,0,1,1,2,1,150,1,899,1,1
1,2,2,2,1,1,0,1,2,1,151,1,759,1,1
1,1,2,2,0,1,0,1,2,1,152,1,1106,1,1
1,2,1,1,0,1,1,1,1,1,153,1,719,1,1
2,2,2,1,1,0,0,1,1,1,154,1,898,0,1
1,1,2,1,1,1,1,1,2,1,155,1,1077,0,1
2,1,1,2,1,1,0,1,2,1,156,1,773,0,1
1,2,1,2,1,1,1,1,1,1,157,0,901,0,1
2,2,1,1,1,1,0,1,1,1,158,0,969,1,1
1,2,1,1,1,1,0,1,1,1,159,1,1050,1,1
1,1,2,2,0,1,1,1,2,1,160,0,666,1,1
2,2,2,2,1,1,0,1,2,1,161,1,1003,1,1
1,2,1,2,1,1,1,1,1,1,162,1,1086,0,1
2,1,2,2,1,0,1,1,2,1,163,1,1105,1,1
1,1,2,2,1,0,0,1,2,1,164,0,1434,1,1
2,1,2,2,1,1,0,1,2,1,165,1,862,1,1
2,1,1,1,0,0,1,1,1,1,166,1,861,1,1
1,2,1,2,1,0,0,1,1,1,167,1,919,0,1
2,2,1,2,1,1,1,1,2,1,168,0,1102,0,1
1,1,1,1,1,1,1,1,1,1,169,0,1117,1,1
2,2,1,1,1,0,0,1,1,1,170,1,612,1,1
1,2,1,1,1,1,0,1,1,1,171,1,974,1,1
1,1,1,1,0,1,0,1,1,1,172,1,958,1,1
2,1,2,2,1,1,1,1,2,1,173,1,768,1,1
1,2,2,2,1,0,0,1,2,1,174,1,945,1,1
2,2,2,1,1,0,1,1,1,1,175,1,801,0,1
1,1,1,1,1,1,0,1,1,1,176,1,594,1,1
1,2,2,2,0,1,1,1,2,1,177,1,1025,1,1
2,1,2,2,1,0,0,1,2,1,178,1,795,1,1
1,2,2,2,1,1,0,1,2,1,179,1,1020,1,1
2,2,2,2,1,1,0,1,2,1,180,1,580,1,1
1,1,1,1,1,1,1,1,1,1,181,1,753,1,1
2,2,1,1,1,0,0,1,1,1,182,0,892,1,1
2,1,2,2,0,1,1,1,2,1,183,1,760,1,1
1,2,2,2,1,1,0,1,2,1,184,1,844,1,1
2,2,2,2,1,0,0,1,2,1,185,0,1112,1,1
1,1,2,2,1,0,0,1,2,1,186,1,1270,1,1
2,1,1,1,1,1,1,1,1,1,187,1,888,1,1
2,2,2,1,0,1,0,1,1,1,188,1,606,0,1
1,2,2,2,1,0,1,1,2,1,189,1,1148,1,1
2,2,1,1,1,0,1,1,1,1,190,1,938,1,1
2,1,2,2,0,1,1,1,2,1,191,1,1095,1,1
1,1,1,2,1,1,1,1,1,1,192,0,1240,0,1
1,1,1,1,0,0,0,1,1,1,193,1,663,1,1
2,2,1,1,1,1,0,1,1,1,194,0,1299,1,1
1,2,2,2,1,1,1,1,2,1,195,1,746,1,1
2,2,2,2,1,0,0,1,2,1,196,1,819,1,1
1,2,1,1,1,0,1,1,1,1,197,1,1320,1,1
2,2,1,1,1,0,0,1,1,1,198,1,1008,1,1
1,1,2,2,1,1,1,1,2,1,199,0,706,1,1
2,2,1,1,1,1,1,1,1,1,200,1,1119,1,1
2,1,2,2,0,1,1,1,2,1,201,1,1142,1,1
1,2,1,1,1,0,1,1,1,1,202,0,1233,1,1
2,1,2,1,1,0,0,1,1,1,203,1,1077,0,1
1,1,1,1,1,1,0,1,1,1,204,1,946,1,1
1,1,2,2,0,0,1,1,2,1,205,1,839,1,1
2,1,2,2,1,0,0,1,2,1,206,1,984,1,1
1,1,2,2,1,0,0,1,2,1,207,1,1132,1,1
2,2,1,1,1,0,1,1,1,1,208,1,1054,1,1
1,1,1,2,1,0,0,1,1,1,209,1,749,0,1
2,1,1,2,1,0,1,1,2,1,210,0,1284,0,1
1,2,1,1,1,0,1,1,1,1,211,1,1239,1,1
2,2,1,1,1,1,0,1,1,1,212,1,804,1,1
2,2,2,1,0,0,0,1,1,1,213,1,742,0,1
1,1,1,1,1,1,0,1,1,1,214,1,1064,1,1
2,1,2,2,1,1,1,1,2,1,215,1,952,1,1
1,1,2,1,1,0,0,1,2,1,216,1,1089,0,1
2,1,2,2,1,0,0,1,2,1,217,1,1072,1,1
1,2,2,2,1,0,0,1,2,1,218,1,1144,1,1
2,1,2,2,1,1,0,1,2,1,219,0,998,1,1
1,1,1,1,1,0,1,1,1,1,220,0,1299,1,1
1,1,2,1,0,0,1,1,2,1,221,1,922,0,1
2,2,2,2,1,0,0,1,2,1,222,1,989,1,1
1,1,1,1,1,1,1,1,1,1,223,0,1217,1,1
2,2,2,2,1,1,1,1,2,1,224,1,949,1,1
1,2,1,1,1,1,1,1,1,1,225,1,1074,1,1
1,2,2,2,0,0,1,1,2,1,226,-1,-1,1,1
1,1,1,2,0,1,1,1,1,1,227,0,1306,0,1
2,1,2,1,1,0,0,1,1,1,228,1,861,0,1
2,2,1,1,0,1,0,1,1,1,229,0,1129,1,1
1,1,2,2,1,0,1,1,2,1,230,1,816,1,1
2,2,2,1,1,0,1,1,1,1,231,-1,-1,0,1
2,2,1,1,0,0,0,1,1,1,232,1,751,1,1
1,2,2,2,1,0,1,1,2,1,233,1,882,1,1
2,1,2,2,1,0,0,1,2,1,234,1,895,1,1
1,1,1,1,1,1,1,1,1,1,235,0,1052,1,1
1,2,1,2,0,1,0,1,1,1,236,0,769,0,1
2,2,2,1,1,1,0,1,1,1,237,0,895,0,1
1,1,2,2,1,1,1,1,2,1,238,1,881,1,1
1,1,2,2,0,0,0,1,2,1,239,1,687,1,1
2,1,1,1,1,1,1,1,1,1,240,0,946,1,1
2,1,1,1,0,0,0,1,1,1,241,0,1216,1,1
1,2,2,2,1,0,1,1,2,1,242,0,957,1,1
2,2,1,2,1,1,0,1,2,1,243,1,318,0,1
1,1,1,2,1,0,1,1,1,1,244,0,736,0,1
2,1,2,2,1,1,1,1,2,1,245,0,776,1,1
1,1,1,1,1,0,1,1,1,1,246,0,569,1,1
2,1,1,1,1,0,0,1,1,1,247,1,746,1,1
1,2,1,1,1,1,0,1,1,1,248,0,969,1,1
1,2,2,2,0,0,1,1,2,1,249,1,1098,1,1
1,2,1,1,0,0,1,1,1,1,250,1,657,1,1
2,1,1,1,1,1,0,1,1,1,251,0,924,1,1
2,1,2,2,0,0,1,1,2,1,252,0,659,1,1
1,2,2,2,1,1,0,1,2,1,253,1,1034,1,1
2,1,2,2,1,0,0,1,2,1,254,1,923,1,1
1,1,1,1,1,0,1,1,1,1,255,1,1298,1,1
2,1,1,2,1,1,1,1,2,1,256,1,728,0,1
2,2,2,2,0,1,0,1,2,1,257,1,670,1,1
2,1,1,2,0,1,0,1,2,1,258,1,745,0,1
2,1,2,1,0,0,1,1,1,1,259,1,781,0,1
1,2,1,2,1,0,0,1,1,1,260,1,1277,0,1
